start,text
00:00:13,INTERNATIONAL
00:00:13,FILM BUREAU INC.
00:00:13,presents
00:00:17,Journey
00:00:17,to the Center
00:00:17,of a Triangle
00:00:17,copyright 1976 Bruce Cornwell
00:00:23,1
00:00:23,incenter
